"Step","bright-planet-137 - test/psnr_scat","bright-planet-137 - test/psnr_scat__MIN","bright-planet-137 - test/psnr_scat__MAX"
"465","43.32973861694336","43.32973861694336","43.32973861694336"
"466","34.08543395996094","34.08543395996094","34.08543395996094"
"467","44.14073944091797","44.14073944091797","44.14073944091797"
"468","42.532562255859375","42.532562255859375","42.532562255859375"
"469","33.04140853881836","33.04140853881836","33.04140853881836"
"470","40.07654571533203","40.07654571533203","40.07654571533203"
"471","37.406314849853516","37.406314849853516","37.406314849853516"
"472","43.455318450927734","43.455318450927734","43.455318450927734"
"473","46.80097961425781","46.80097961425781","46.80097961425781"
"474","47.09330368041992","47.09330368041992","47.09330368041992"
"475","38.61882400512695","38.61882400512695","38.61882400512695"
"476","42.28274917602539","42.28274917602539","42.28274917602539"
"477","41.040924072265625","41.040924072265625","41.040924072265625"
"478","46.460880279541016","46.460880279541016","46.460880279541016"
"479","43.385494232177734","43.385494232177734","43.385494232177734"
"480","35.97675704956055","35.97675704956055","35.97675704956055"
"481","40.01652526855469","40.01652526855469","40.01652526855469"
"482","46.71934127807617","46.71934127807617","46.71934127807617"
"483","40.21295928955078","40.21295928955078","40.21295928955078"
"484","39.210968017578125","39.210968017578125","39.210968017578125"
"485","44.11125946044922","44.11125946044922","44.11125946044922"
"486","41.97865676879883","41.97865676879883","41.97865676879883"
"487","46.94963455200195","46.94963455200195","46.94963455200195"
"488","32.269004821777344","32.269004821777344","32.269004821777344"
"489","40.951778411865234","40.951778411865234","40.951778411865234"
"490","41.95016860961914","41.95016860961914","41.95016860961914"
"491","41.740745544433594","41.740745544433594","41.740745544433594"
"492","37.16615295410156","37.16615295410156","37.16615295410156"
